prodi_id;prodi_deskripsi
205;MAGISTER ILMU HUKUM (KAMPUS JAKARTA)
206;MAGISTER EKONOMIKA PEMBANGUNAN
207;TEKNOLOGI REKAYASA ELEKTRO
208;KEDOKTERAN GIGI
209;TEKNIK PENGELOLAAN DAN PERAWATAN ALAT BERAT
210;MAGISTER TEKNOLOGI INDUSTRI PERTANIAN
211;ILMU TANAH
212;MIKROBIOLOGI PERTANIAN
213;FARMASI
214;MAGISTER SEJARAH
215;KEHUTANAN (MANAJEMEN HUTAN)
216;MAGISTER SAINS ILMU EKONOMI
217;PERIODONSIA
218;SOSIOLOGI
219;AKUAKULTUR
220;MAGISTER HUKUM LITIGASI
221;PENGELOLAAN INFRASTRUKTUR DAN PEMBANGUNAN MASYARAKAT
222;MAGISTER ILMU PETERNAKAN
223;PENGINDERAAN JAUH DAN SISTEM INFORMASI GEOGRAFI
224;MAGISTER ILMU KESEHATAN MASYARAKAT
225;MAGISTER ILMU BIOMEDIK
226;GIZI KESEHATAN
227;TEKNIK INFRASTRUKTUR LINGKUNGAN
228;MAGISTER RANCANG KOTA
229;DOKTOR PERENCANAAN WILAYAH DAN KOTA
230;MAGISTER MANAJEMEN PENDIDIKAN TINGGI
231;DOKTOR ARSITEKTUR
232;PEMBANGUNAN EKONOMI KEWILAYAHAN
233;MAGISTER ILMU HUBUNGAN INTERNASIONAL
234;ARSITEKTUR
235;TEKNOLOGI HASIL PERIKANAN
236;EKONOMIKA TERAPAN
237;TEKNIK SIPIL
238;SASTRA JAWA
239;BAHASA ARAB
240;MANAJEMEN SUMBERDAYA AKUATIK
241;BEDAH SARAF
242;ANESTESIOLOGI DAN TERAPI INTENSIF
243; DOKTOR ILMU ADMINISTRASI PUBLIK
244;NEUROLOGI
245;MAGISTER SASTRA
246;DOKTOR ANTROPOLOGI
247;PATOLOGI ANATOMI
248;MAGISTER TEKNIK GEOLOGI
249;MAGISTER KAJIAN BUDAYA DAN MEDIA
250;MAGISTER ILMU KEDOKTERAN TROPIS
251;MAGISTER PENYULUHAN DAN KOMUNIKASI PEMBANGUNAN
252;PARIWISATA
253;DOKTOR FISIKA
254;ILMU KEDOKTERAN FORENSIK DAN MEDIKOLEGAL
255;DOKTOR PENGKAJIAN SENI PERTUNJUKAN DAN SENI RUPA
256;DOKTOR ILMU FARMASI
257;PEMBANGUNAN SOSIAL DAN KESEJAHTERAAN
258;MAGISTER MATEMATIKA
259;PSIKOLOGI
260;JANTUNG DAN PEMBULUH DARAH
261;MAGISTER BIOLOGI
262;PEMBANGUNAN WILAYAH
263;DOKTOR ILMU AKUNTANSI
264;DOKTOR ILMU MANAJEMEN
265;DOKTOR MATEMATIKA
266;MANAJEMEN
267;AGRONOMI
268;MAGISTER TEKNIK MESIN
269;ILMU KEDOKTERAN JIWA
270;DOKTOR ILMU KEDOKTERAN GIGI
271;ILMU BEDAH
272;POLITIK DAN PEMERINTAHAN
273;DOKTOR PEREKONOMIAN ISLAM DAN INDUSTRI HALAL
274;HIGIENE GIGI
275;MAGISTER TEKNIK PERTANIAN
276;PEMULIAAN TANAMAN
277;ORTODONSIA
278;GEOGRAFI LINGKUNGAN
279;DOKTOR BIOTEKNOLOGI
280;MAGISTER ILMU KEDOKTERAN GIGI
281;PERENCANAAN WILAYAH DAN KOTA
282;TEKNIK INDUSTRI
283;KEARSIPAN
284;DOKTOR ILMU PERTANIAN
285;MAGISTER PERENCANAAN WILAYAH DAN KOTA 
286;MAGISTER MANAJEMEN BENCANA
287;MAGISTER MANAJEMEN
288;MAGISTER KEPERAWATAN
289;PERBANKAN
290;TEKNIK FISIKA
291;MAGISTER AGRONOMI
292;HUBUNGAN MASYARAKAT
293;MAGISTER PENGKAJIAN AMERIKA
294;TEKNIK PERTANIAN
295;DOKTOR FILSAFAT
296;DOKTOR TEKNIK MESIN
297;DOKTOR KEPENDUDUKAN
298;DOKTOR ILMU HUKUM
299;KEDOKTERAN HEWAN
300;MAGISTER SAINS VETERINER
301;PENDIDIKAN PROFESI ARSITEK
302;DOKTOR ILMU KOMPUTER
303;SEJARAH
304;DOKTOR TEKNIK ELEKTRO
305;MAGISTER FILSAFAT
306;MAGISTER TEKNIK BIOMEDIS
307;UROLOGI
308;MAGISTER PSIKOLOGI
309;DOKTOR PEREKONOMIAN ISLAM DAN INDUSTRI HALAL
310;BISNIS PERJALANAN WISATA
311;ILMU PENYAKIT JANTUNG DAN PEMBULUH DARAH
312;MAGISTER HUKUM BISNIS DAN KENEGARAAN
313;ILMU DAN INDUSTRI PETERNAKAN
314;MAGISTER KETAHANAN NASIONAL
315;ILMU PENYAKIT MULUT
316;MAGISTER TEKNIK FISIKA
317;KETAHANAN NASIONAL
318;DOKTOR AGAMA DAN LINTAS BUDAYA
319;KEDOKTERAN KELUARGA LAYANAN PRIMER
320;DOKTOR INTER-RELIGIOUS STUDIES
321;TEKNIK KIMIA
322;DOKTOR ILMU PSIKOLOGI
323;BAHASA PRANCIS
324;MAGISTER FISIKA
